pair,base_bar,signal_bar,float_pct,tp_pct,sl_pct,initial,final,total_return_pct,trades,wins,losses,win_rate_pct,max_dd_pct,profit_factor,monthly_pct,n_signals,y2024_end,y2024_pnl_pct,y2025_end,y2025_pnl_pct,y2026_end,y2026_pnl_pct
SOL-USDT-SWAP,30m,4H,0.0025,0.01,0.005,140.0,0.643,-99.54,999,402,597,40.24,99.616,0.719,-4.085,4388,34.39,-75.44,2.82,-91.81,0.64,-77.16
SOL-USDT-SWAP,30m,4H,0.0025,0.01,0.008,140.0,9.258,-93.387,999,498,501,49.85,95.004,0.871,-3.833,4388,90.46,-35.39,25.25,-72.09,9.26,-63.34
SOL-USDT-SWAP,30m,4H,0.0025,0.01,0.01,140.0,20.978,-85.015,999,528,471,52.853,89.484,0.921,-3.489,4388,138.24,-1.26,48.94,-64.59,20.98,-57.14
SOL-USDT-SWAP,30m,4H,0.0025,0.01,0.015,140.0,452.065,222.903,999,577,422,57.758,75.336,1.03,9.148,4388,366.77,161.98,787.98,114.84,452.06,-42.63
SOL-USDT-SWAP,30m,4H,0.0025,0.01,0.02,140.0,1908.926,1263.518,999,594,405,59.459,75.033,1.064,51.854,4388,627.52,348.23,2047.13,226.23,1908.93,-6.75
SOL-USDT-SWAP,30m,4H,0.0025,0.015,0.005,140.0,0.035,-99.975,999,320,679,32.032,99.982,0.675,-4.103,4388,14.67,-89.52,0.4,-97.3,0.04,-91.17
SOL-USDT-SWAP,30m,4H,0.0025,0.015,0.008,140.0,0.391,-99.721,999,407,592,40.741,99.818,0.821,-4.093,4388,53.0,-62.14,3.58,-93.25,0.39,-89.09
SOL-USDT-SWAP,30m,4H,0.0025,0.015,0.01,140.0,0.45,-99.678,999,432,567,43.243,99.795,0.837,-4.091,4388,61.37,-56.17,3.92,-93.61,0.45,-88.53
SOL-USDT-SWAP,30m,4H,0.0025,0.015,0.015,140.0,2.164,-98.454,999,468,531,46.847,98.905,0.886,-4.041,4388,82.38,-41.16,21.88,-73.44,2.16,-90.11
SOL-USDT-SWAP,30m,4H,0.0025,0.015,0.02,140.0,8.016,-94.274,999,486,513,48.649,96.26,0.936,-3.869,4388,127.25,-9.11,54.88,-56.87,8.02,-85.39
SOL-USDT-SWAP,30m,4H,0.0025,0.02,0.005,140.0,0.004,-99.997,999,287,712,28.729,99.997,0.558,-4.104,4388,5.2,-96.28,0.07,-98.58,0.0,-93.93
SOL-USDT-SWAP,30m,4H,0.0025,0.02,0.008,140.0,0.019,-99.986,999,365,634,36.537,99.987,0.663,-4.103,4388,12.93,-90.76,0.32,-97.53,0.02,-94.03
